job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Specialist Payroll,(Senior) Specialist Payroll (w/m/d),Au,Arbeitnow,Internship,FALSE,Au,2026-05-14 09:00:35,TRUE,FALSE,,,,,SÜDVERS,['r'],{'programming': ['r']}
Werkstudent*in Marketing / Social Media / Content,Werkstudent*in Marketing / Social Media / Content Management (m/w/d),Berlin,Arbeitnow,Full-time,TRUE,Berlin,2026-05-14 09:00:35,TRUE,FALSE,,,,,Mrs.Sporty GmbH,['r'],{'programming': ['r']}
GenAI Developer Python,GenAI Developer Python/ ML Remote in Germany,Frankfurt am Main,Arbeitnow,Internship,TRUE,Frankfurt am Main,2026-05-14 08:30:37,TRUE,FALSE,United States,year,90000,,Talents2Germany GmbH,"['api', 'machine learning', 'nlp', 'python', 'pytorch']","{'tools': ['api'], 'data_science': ['machine learning', 'nlp', 'pytorch'], 'programming': ['python']}"
Fullstack Developer React,Fullstack Developer React/ Python - Remote in Germany,Frankfurt am Main,Arbeitnow,Internship,TRUE,Frankfurt am Main,2026-05-14 08:30:37,TRUE,FALSE,United States,,,,Talents2Germany GmbH,"['agile', 'api', 'aws', 'azure', 'ci/cd', 'django', 'fastapi', 'gcp', 'javascript', 'python', 'react', 'typescript']","{'tools': ['agile', 'api'], 'cloud': ['aws', 'azure', 'gcp'], 'devops': ['ci/cd'], 'frameworks': ['django', 'fastapi', 'react'], 'programming': ['javascript', 'python', 'typescript']}"
Brand & Digital Consultant,(Senior) Brand & Digital Consultant (w/m/d),Berlin,Arbeitnow,Full-time,TRUE,Berlin,2026-05-14 08:00:42,TRUE,FALSE,,,,,LAUDO Designagentur GmbH,['r'],{'programming': ['r']}
Datenerfassungsmitarbeiter,Datenerfassungsmitarbeiter,Burgbernheim,Arbeitnow,Internship,FALSE,Burgbernheim,2026-05-14 12:29:03,TRUE,FALSE,,,,,Thilman Finanz,,
Marketing,Head of Marketing,Berlin,Arbeitnow,Full-time,FALSE,Berlin,2026-05-14 07:00:36,TRUE,TRUE,,,,,ai-coustics,,
"Steuerberater in Gaggenau, auf Wunsch mit","Steuerberater (m/w/d) in Gaggenau, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Gaggenau,Arbeitnow,Full-time,FALSE,Gaggenau,2026-05-14 06:30:36,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Neubulach, auf Wunsch mit","Steuerberater (m/w/d) in Neubulach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Neubulach,Arbeitnow,Full-time,FALSE,Neubulach,2026-05-14 06:30:36,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Otterndorf, auf Wunsch mit","Steuerberater (m/w/d) in Otterndorf, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Otterndorf,Arbeitnow,Full-time,FALSE,Otterndorf,2026-05-14 06:30:36,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Dassendorf, auf Wunsch mit","Steuerberater (m/w/d) in Dassendorf, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Dassendorf,Arbeitnow,Full-time,FALSE,Dassendorf,2026-05-14 06:30:36,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Weinstadt, auf Wunsch mit","Steuerberater (m/w/d) in Weinstadt, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Weinstadt,Arbeitnow,Full-time,FALSE,Weinstadt,2026-05-14 06:30:35,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Wildau, auf Wunsch mit","Steuerberater (m/w/d) in Wildau, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Wildau,Arbeitnow,Full-time,FALSE,Wildau,2026-05-14 06:30:35,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
"Steuerberater in Tiefenbronn, auf Wunsch mit","Steuerberater (m/w/d) in Tiefenbronn, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Tiefenbronn,Arbeitnow,Full-time,FALSE,Tiefenbronn,2026-05-14 06:30:35,TRUE,FALSE,,,,,Taxtalente.de,"['go', 'r']","{'programming': ['go', 'r']}"
